Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
98.13,12.26,4.98,3.27
98.43,12.25,5.01,3.16
98.73,12.26,4.98,3.15
99.03,12.28,4.99,3.24
99.33,12.25,5.01,3.17
99.63,12.25,4.98,3.23
99.93,12.25,5.01,3.21
100.23,12.25,5.04,3.24
100.53,12.23,5.01,3.26
100.83,12.26,4.98,3.22
101.14,12.25,4.99,3.24
101.44,12.23,4.99,3.22
101.74,12.26,4.98,3.21
102.04,12.25,4.99,3.22
102.34,12.23,4.97,3.22
102.64,12.25,5.01,3.25
102.94,12.28,4.99,3.36
103.24,12.26,4.99,3.28
103.54,12.25,4.99,3.11
103.85,12.21,4.98,3.12
104.15,12.25,5.01,3.2
104.45,12.26,5.01,3.22
104.75,12.25,4.98,3.21
105.05,12.25,4.99,3.24
105.35,12.25,4.98,3.26
105.65,12.26,5.04,3.2
105.95,12.25,4.98,3.2
106.25,12.26,4.98,3.21
106.55,12.25,4.98,3.2
106.86,12.23,4.99,3.21
107.16,12.26,4.97,3.16
107.46,12.26,4.98,3.2
107.76,12.26,4.99,3.23
108.06,12.26,4.99,3.21
108.36,12.26,4.93,3.18
108.66,12.25,4.97,3.19
108.96,12.25,4.99,3.13
109.26,12.21,4.98,3.2
109.56,12.25,4.97,3.22
109.86,12.23,4.99,3.21
110.17,12.26,4.98,3.18
110.47,12.28,5.03,3.17
110.77,12.23,4.98,3.21
111.07,12.25,4.99,3.12
111.37,12.26,4.99,3.22
111.67,12.26,4.98,3.13
111.97,12.23,4.98,3.26
112.27,12.26,4.98,3.23
112.57,12.26,4.98,3.28
112.88,12.25,4.99,3.22
113.18,12.23,4.99,3.16
113.48,12.26,4.99,2.95
113.78,12.26,4.98,3.17
114.08,12.25,4.99,3.18
114.38,12.25,4.97,3.21
114.68,12.26,5.01,3.29
114.98,12.25,4.99,3.21
115.28,12.26,4.99,3.11
115.58,12.25,4.98,3.21
115.89,12.26,4.98,3.17
116.19,12.25,4.99,3.13
116.49,12.25,4.97,3.18
116.79,12.26,4.97,3.24
117.09,12.23,4.98,3.21
117.39,12.25,4.98,3.25
117.69,12.23,4.99,3.23
117.99,12.19,4.99,3.21
118.29,12.25,4.99,3.16
118.59,12.26,4.99,3.26
118.89,12.23,4.98,3.15
119.2,12.25,4.98,3.17
119.5,12.25,4.99,3.25
119.8,12.26,5.01,3.21
120.1,12.21,4.98,3.18
120.4,12.26,4.99,3.23
120.7,12.25,4.98,3.15
121.0,12.26,4.98,3.25
121.3,12.26,5.01,3.2
121.6,12.26,4.99,3.2
121.9,12.26,4.99,3.19
122.21,12.23,4.98,3.28
122.51,12.23,4.99,3.22
122.81,12.25,4.98,3.19
123.11,12.25,4.98,3.18
123.41,12.23,4.97,3.23
123.71,12.28,4.99,3.18
124.01,12.25,4.99,3.18
124.31,12.25,4.99,3.24
124.61,12.26,4.98,3.13
124.92,12.25,5.07,3.27
125.22,12.23,4.98,3.13
125.52,12.26,4.99,3.15
125.82,12.23,5.07,3.24
126.12,12.25,4.99,3.18
126.42,12.26,4.98,3.15
126.72,12.25,5.06,3.21
127.02,12.26,4.99,3.18
127.32,12.3,4.98,3.22
127.62,12.23,4.99,3.23
127.93,12.23,4.99,3.23
128.23,12.25,5.01,2.97
128.53,12.25,4.98,3.24
