Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
262.17,12.25,4.98,3.11
262.47,12.25,5.04,3.23
262.77,12.25,5.01,3.11
263.07,12.25,4.99,3.09
263.38,12.23,4.99,3.12
263.68,12.25,4.99,3.17
263.98,12.25,4.98,3.14
264.28,12.25,4.99,3.14
264.58,12.25,4.98,3.12
264.88,12.23,4.98,3.13
265.18,12.23,4.98,3.13
265.48,12.25,4.98,3.08
265.78,12.26,4.99,3.16
266.08,12.21,5.01,3.15
266.39,12.23,4.98,3.15
266.69,12.25,4.98,3.16
266.99,12.23,5.01,3.1
267.29,12.26,4.99,3.15
267.59,12.25,4.99,3.1
267.89,12.23,4.99,3.14
268.19,12.25,4.98,3.12
268.49,12.23,4.98,3.06
268.79,12.25,4.99,3.13
269.09,12.25,5.01,3.15
269.39,12.25,4.99,3.18
269.7,12.25,4.98,3.09
270.0,12.25,4.98,3.12
270.3,12.25,4.98,3.14
270.6,12.26,4.98,3.02
270.9,12.23,4.99,3.1
271.2,12.23,4.97,3.08
271.5,12.25,4.98,3.1
271.8,12.25,4.99,3.12
272.1,12.25,4.98,3.13
272.4,12.25,4.99,3.09
272.71,12.26,4.98,3.09
273.01,12.25,5.01,3.13
273.31,12.26,5.01,3.06
273.61,12.23,4.98,3.14
273.91,12.25,4.99,3.1
274.21,12.23,5.01,3.16
274.51,12.25,5.01,3.08
274.81,12.23,4.99,3.11
275.11,12.25,4.98,3.13
275.42,12.26,4.99,3.13
275.72,12.25,4.98,3.09
276.02,12.25,4.98,3.03
276.32,12.26,4.99,3.12
276.62,12.23,4.99,3.11
276.92,12.25,5.01,3.16
277.22,12.25,4.99,3.15
277.52,12.26,5.01,3.19
277.82,12.26,4.98,3.14
278.12,12.25,4.99,3.12
278.42,12.25,4.98,3.1
278.73,12.26,4.98,3.05
279.03,12.26,4.98,3.11
279.33,12.23,4.99,3.12
279.63,12.25,4.98,3.13
279.93,12.26,4.98,3.15
280.23,12.25,5.01,3.14
280.53,12.26,4.99,3.18
280.83,12.23,4.99,3.15
281.13,12.25,5.03,3.08
281.43,12.25,4.99,3.13
281.74,12.25,5.03,3.13
282.04,12.25,4.99,2.94
282.34,12.26,4.99,3.11
282.64,12.25,4.98,3.1
282.94,12.26,4.98,3.19
283.24,12.25,4.98,3.14
283.54,12.26,4.99,3.15
283.84,12.23,4.91,3.15
284.14,12.25,4.98,3.15
284.45,12.25,4.98,3.12
284.75,12.25,4.99,3.11
285.05,12.26,5.02,3.13
285.35,12.23,4.98,3.15
285.65,12.25,4.99,2.9
285.95,12.25,4.91,3.1
286.25,12.28,4.99,3.11
286.55,12.26,4.99,3.16
286.85,12.25,5.01,3.22
287.15,12.25,4.98,3.15
287.45,12.25,4.97,3.15
287.76,12.25,4.99,3.06
288.06,12.23,4.97,3.05
288.36,12.23,4.99,3.11
288.66,12.25,4.97,3.23
288.96,12.25,4.99,3.16
289.26,12.23,4.98,3.13
289.56,12.23,4.98,3.11
289.86,12.23,4.98,3.15
290.16,12.23,4.97,3.15
290.46,12.26,4.98,3.14
290.77,12.26,4.93,3.15
291.07,12.26,4.97,3.12
291.37,12.25,4.98,3.09
291.67,12.25,4.98,3.18
291.97,12.3,4.98,3.15
292.27,12.21,4.99,3.1
292.57,12.25,4.99,3.13
292.87,12.26,4.98,3.1
293.17,12.23,4.97,3.12
293.48,12.23,4.98,3.06
293.78,12.25,5.01,3.11
294.08,12.25,4.97,3.12
294.38,12.23,4.99,3.1
294.68,12.26,4.99,3.16
294.98,12.26,4.99,3.11
295.28,12.23,4.98,3.17
295.58,12.25,4.99,3.12
295.88,12.25,4.98,3.24
296.18,12.25,5.01,3.07
296.48,12.23,4.97,3.12
296.79,12.25,4.97,3.11
297.09,12.23,4.98,3.14
297.39,12.26,4.98,3.15
297.69,12.25,4.98,3.18
297.99,12.25,4.97,3.17
